pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-150,z,20,3,83,3,,,,,277.59514169999966,278.59611790000054,278.59611790000054,278.59611790000054,278.59611790000054,278.59611790000054,279.59537590000036,279.59537590000036,z,1,0.6295537000005424,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
-50,x,21,0,84,0,,,,,280.2487860000001,281.24525059999905,281.24525059999905,281.24525059999905,281.24525059999905,281.2610131000001,282.24490420000075,282.24490420000075,x,1,0.6543764000016381,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
150,v,21,1,85,1,,,,,282.9276167000007,283.9282991,283.9282991,283.9282991,283.9282991,283.9282991,284.92823580000004,284.92823580000004,v,1,0.6903538000005938,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
50,c,21,2,86,2,,,,,285.64468300000044,286.64509609999914,286.64509609999914,286.64509609999914,286.64509609999914,286.64509609999914,287.6277391000003,287.6277391000003,c,1,0.6336048000011942,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
-150,z,21,3,87,3,,,,,288.2774558000001,289.26072229999954,289.26072229999954,289.26072229999954,289.26072229999954,289.27743159999955,290.27733459999945,290.27733459999945,z,1,16.84784579999905,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
-50,x,22,0,88,0,,,,,307.1441365999999,308.1445342999996,308.1445342999996,308.1445342999996,308.1445342999996,308.1445342999996,309.1440103999994,309.1440103999994,x,1,0.6464176000008592,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
150,v,22,1,89,1,,,,,309.8105758999991,310.8107261999994,310.8107261999994,310.8107261999994,310.8107261999994,310.8107261999994,311.8102822000001,311.8102822000001,v,1,0.7701672999992297,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
50,c,22,2,90,2,,,,,312.6102943999995,313.6109639999995,313.6109639999995,313.6109639999995,313.6109639999995,313.6109639999995,314.61040630000025,314.61040630000025,c,1,0.5872212000012951,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
-150,z,22,3,91,3,,,,,315.2274737000007,316.2273691999999,316.2273691999999,316.2273691999999,316.2273691999999,316.2273691999999,317.22718370000075,317.22718370000075,z,1,0.5809221000017715,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
-50,x,23,0,92,0,,,,,317.8269228999998,318.82755820000057,318.82755820000057,318.82755820000057,318.82755820000057,318.82755820000057,319.8291499999996,319.8291499999996,x,1,2.5055234000010387,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
150,v,23,1,93,1,,,,,322.3600607999997,323.36041189999924,323.36041189999924,323.36041189999924,323.36041189999924,323.36041189999924,324.3602377999996,324.3602377999996,v,1,0.8394363000006706,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
50,c,23,2,94,2,,,,,325.2270093999996,326.22751360000075,326.22751360000075,326.22751360000075,326.22751360000075,326.22751360000075,327.22650299999987,327.22650299999987,c,1,3.198499599999195,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
-150,z,23,3,95,3,,,,,330.4435035000006,331.4444177000005,331.4444177000005,331.4444177000005,331.4444177000005,331.4444177000005,332.4429099000008,332.4429099000008,z,1,0.5639542000008078,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
-50,x,24,0,96,0,,,,,333.02695089999906,334.0269100000005,334.0269100000005,334.0269100000005,334.0269100000005,334.0269100000005,335.0266566999999,335.0266566999999,x,1,0.5734479000002466,None,01,001,2023-10-09_11h18.23.939,motor_sequence_learning,2023.1.3,59.80675242112376,
